order_id,order_date,sku,sub-category,quantity,order_status,settlement_date,mrp,discount,net_realized_sale,igst,cgst,sgst,tcs,tds,commission,shipping_fee,fixed_fee,pick_and_pack_fee,payment_gateway_fee,tax_on_logistics,zone,actual_settlement,tax_on_commissions,_merge,payment_status,final_settlement,returned_quantity,net_delivered_quantity
8554639495,2025-07-06,110665019,Kurta Sets,1,returned,2025-07-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-218.0,-27.0,0.0,0.0,-44.1,NATIONAL,1632.746,0.0,both,settled,-289.1,1.0,0.0
8556911893,2025-07-07,108540855,Kurtas,1,delivered,2025-07-25,1599.0,-816.0,689.0,32.81,0.0,0.0,-3.281,-0.656,-96.46186440677967,0.0,-27.0,0.0,0.0,-4.86,ZONAL,539.3879999999999,-17.36313559322034,both,settled,539.378,,
8590017705,2025-07-30,78640350,Kurta Sets,1,delivered,,,,,,,,,,,,,,,,,,,left_only,unsettled,0.0,,
8586748203,2025-07-27,102360628,Kurtas,1,delivered,,,,,,,,,,,,,,,,,,,left_only,unsettled,0.0,,
8569578183,2025-07-16,85672170,Trousers,1,delivered,,,,,,,,,,,,,,,,,,,left_only,unsettled,0.0,,
8547934345,2025-07-01,102360576,Kurtas,1,returned,2025-07-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-167.0,-27.0,-17.0,0.0,-37.98,NATIONAL,1645.784,0.0,both,settled,-248.98,1.0,0.0
8563168217,2025-07-12,105018410,Kurtas,1,delivered,,,,,,,,,,,,,,,,,,,left_only,unsettled,0.0,,
8580349369,2025-07-23,103849733,Kurtas,1,delivered,,,,,,,,,,,,,,,,,,,left_only,unsettled,0.0,,
8549842481,2025-07-03,78682660,Palazzos,1,delivered,2025-07-22,799.0,-304.0,436.0,20.76,0.0,0.0,-2.076,-0.415,-34.87966101694916,0.0,-27.0,0.0,0.0,-4.86,NATIONAL,360.491,-6.2783389830508485,both,settled,360.491,,
8590004405,2025-07-30,77342834,Leggings,1,delivered,,,,,,,,,,,,,,,,,,,left_only,unsettled,0.0,,
8558790846,2025-07-09,102957077,Ethnic Dresses,1,delivered,2025-07-29,1599.0,-816.0,689.0,32.81,0.0,0.0,-3.281,-0.656,-89.57033898305085,0.0,-27.0,0.0,0.0,-4.86,NATIONAL,547.51,-16.122661016949152,both,settled,547.5100000000001,,
